name,number_of_types
larning,2
larga,2
larni,2
larda,2
lardan,2
larim,2
laring,2
larimiz,2
laringiz,2
lari,2
imning,2
mning,2
imga,2
mga,2
imni,2
mni,2
imda,2
mda,2
imdan,2
mdan,2
ingning,2
ngning,2
ingga,2
ngga,2
ingni,2
ngni,2
ingda,2
ngda,2
ingdan,2
ngdan,2
sining,2
siga,2
sini,2
sida,2
sidan,2
imizning,2
mizning,2
imizga,2
mizga,2
imizni,2
mizni,2
imizda,2
mizda,2
imizdan,2
mizdan,2
ingizning,2
ngizning,2
ingizga,2
ingizni,2
ngizni,2
ingizda,2
ngizda,2
ingizdan,2
ngizdan,2
ining,2
iga,2
ini,2
ida,2
idan,2
chaning,2
chaga,2
chani,2
chada,2
chadan,2
chalar,2
cham,2
chang,2
chamiz,2
changiz,2
chasi,2
chining,2
chiga,2
chini,2
chida,2
chidan,2
doshning,2
doshga,2
doshni,2
doshda,2
doshdan,2
zorning,2
zorga,2
zorni,2
zorda,2
zordan,2
istonning,2
istonga,2
istonni,2
istonda,2
xonaning,2
xonaga,2
xonadan,2
xonani,2
xonada,2
likka,2
likdan,2
likdan,2
likni,2
likda,2
chilikning,2
chilikka,2
chilikdan,2
chilikni,2
chilikda,2
chilar,2
doshlar,2
zorlar,2
xonalar,2
chim,2
ching,2
chisi,2
chimiz,2
chingiz,2
doshim,2
doshing,2
doshi,2
doshimiz,2
doshingiz,2
zorim,2
zoring,2
zori,2
zorimiz,2
zoringiz,2
istonim,2
istoning,2
istoni,2
istonimiz,2
istoningiz,2
xonam,2
xonang,2
xonasi,2
xonamiz,2
xonangiz,2
ligim,2
liging,2
ligi,2
ligimiz,2
ligingiz,2
chiligim,2
chiliging,2
chiligi,2
chiligimiz,2
chiligingiz,2
larimning,3
larimga,3
larimni,3
larimda,3
larimdan,3
laringning,3
laringga,3
laringni,3
laringda,3
laringdan,3
larimizning,3
larimizga,3
larimizni,3
larimizda,3
larimizdan,3
laringizning,3
laringizga,3
laringizni,3
laringizda,3
laringizdan,3
larining,3
lariga,3
larini,3
larida,3
laridan,3
chalarning,3
chalarga,3
chalarni,3
chalarda,3
chalardan,3
chalarim,3
chalaring,3
chalari,3
chalarimiz,3
chalaringiz,3
chamga,3
chamning,3
chamda,3
chamdan,3
changning,3
changga,3
changni,3
changda,3
changdan,3
chamizning,3
chamizga,3
chamizni,3
chamizda,3
chamizdan,3
changizning,3
changizga,3
changizni,3
changizda,3
changizdan,3
chasining,3
chasiga,3
chasini,3
chasida,3
chasidan,3
chamni,3
chilarning,3
chilarga,3
chilarni,3
chilarda,3
chilardan,3
doshlarning,3
doshlarga,3
doshlarni,3
doshlarda,3
doshlardan,3
zorlarning,3
zorlarga,3
zorlarni,3
zorlarda,3
zorlardan,3
xonalarning,3
xonalarga,3
xonalarni,3
xonalardan,3
xonalarda,3
chalarim,3
chalaring,3
chalarimiz,3
chalaringiz,3
chalari,3
doshlarim,3
doshlaring,3
doshlarimiz,3
doshlaringiz,3
doshlari,3
zorlarim,3
zorlaring,3
zorlarimiz,3
zorlaringiz,3
zorlari,3
xonalari,3
xonalaring,3
xonalarimiz,3
xonalaringiz,3
ning,1
ga,1
ka,1
qa,1
ni,1
da,1
dan,1
lar,1
im,1
ing,1
si,1
imiz,1
miz,1
ingiz,1
ngiz,1
si,1
chi,1
dosh,1
zor,1
iston,1
xona,1
lik,1
chilik,1
xonalari,3
doshimning,3
chingdan,3
chilikingizdan,3
aman,1
asan,1
asiz,1
adi,1
amiz,1
asizlar,1
adilar,1
yman,1
ysan,1
ysiz,1
ydi,1
ymiz,1
ysizlar,1
ydilar,1
mayman,2
maysan,2
maysiz,2
maydi,2
maymiz,2
lardagi,3
gan,1
dagi,1
inchi,1
dik,1
idek,1
ganini,3
moqda,2
kich,1
lashicha,2
mayapti,2
langan,1
largina,2
ingan,2
i,1
ganlik,2
ilgani,3
gi,1
ganlikni,3
ta,1
gacha,2
taga,2
ilishi,2
liklar,2
ibdi,1
gacha,2
ligida,2
ildi,1
inadi,2
ilgan,1
iladi,2
li,1
ayganini,4
chiman,2
chisiz,2
chilar,2
chidir,2
lash,1
lantirish,1
ladim,2
ayotgani,2
lab,1
moqchiman,3
yapti,2
ayotgan,2
chilar,2
chilariga,3
chilaridan,3
chilarining,3
uvchi,2
ayotgan,2
lashgan,2
inchidan,2
inchi,1
inchining,2
ki,1
nda,1
iladi,2
lararo,2
ilar,2
chiligi,3
chiligidagi,3
ligini,2
ydigan,1
siz,1
iladi,1
inayotgan,1
ayotganini,3
ish,1
layman,2
ilishini,2
lasin,2
lanishi,2
dalik,2
shimiz,2
shi,2
tirildi,2
liklarning,3
masligimiz,3
liklarga,3
di,1
mi,1
moqchi,2
magan,2
maganlar,3
ganlar,2
